Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/133/83/22-23,"supply and delivery of 100 seater tents, plastic chairs  which includes;100 SEATER TENTS ,PLASTIC CHAIRS 
",2022-2023,JIENGA INVESTMENTS LTD P.O BOX 92415-80102 ,0,"Youth, Sports, Gender and Social Services",,1998000,"supply and delivery of 100 seater tents, plastic chairs  which includes;100 SEATER TENTS ,PLASTIC CHAIRS 
"
006/133/84/22-23,PROPOSED COMPLETION OF MLAMBENYI SOCIAL HALL,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",,0,PROPOSED COMPLETION OF MLAMBENYI SOCIAL HALL
006/133/85/22-23,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,2022-2023,FAXTECH COMPANY LTD,0,"Youth, Sports, Gender and Social Services",,99279,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET
006/133/86/22-23,MAINTANANCE OF MWATATE ROADS,2022-2023,BLUE AVENUE VENTURES,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,MAINTANANCE OF MWATATE ROADS
006/133/87/22-23,DRIVING SCHOOL FOR 66 STUDENTS,2022-2023,TRUNK DRIVING SCHOOL,0,"Youth, Sports, Gender and Social Services",,1635000,DRIVING SCHOOL FOR 66 STUDENTS
006/133/88/22-23,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",,999479.2,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET 
006/133/89/22-23,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",,99279,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET
006/133/90/22-23,MWAMKOLO ROAD,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,"Formation, filling and roller"
006/133/91/22-23,CONSTRUCTION OF MAKANGA SOCIAL HALL 2 DOOR TOILET,2022-2023,ROMWAKI ENTERPRISES (E.A ) LTD 17 NG'AMBWA,0,"Youth, Sports, Gender and Social Services",,800000,CONSTRUCTION OF MAKANGA SOCIAL HALL 2 DOOR TOILET
006/133/92/22-23,PROPOSED CONSTRUCTION OF KITIVO SOCIAL  HALL,2022-2023,KIZU ENTERPRISES LTD P.O BOX 107 NG'AMBWA,0,"Youth, Sports, Gender and Social Services",,2999905,PROPOSED CONSTRUCTION OF KITIVO SOCIAL  HALL
006/133/93/22-23,SUPPLY AND DELIVERY OF SPORT ITEMS AND OTHER ASSORTED ITEMS,2022-2023,PATIKINA ENTERPRISES P.O BOX 68-80305 MWATATE ,0,"Youth, Sports, Gender and Social Services",,1000000,SUPPLY AND DELIVERY OF SPORT ITEMS AND OTHER ASSORTED ITEMS
006/133/94/22-23,DRIVING SCHOOL TRAINING FOR 43 STUDENTS,2022-2023,TRUCK DRIVING SCHOOL,0,"Youth, Sports, Gender and Social Services",,1635000,DRIVING SCHOOL TRAINING FOR 43 STUDENTS
006/133/95/22-23,COMPLETION OF MANOA DISPENSARY LABORATORY,2022-2023,DISTON INVESTMENT LIMITED,0,Health Services,,3105508,COMPLETION OF MANOA DISPENSARY LABORATORY
006/133/96/22-23,SUPPLY AND DELIVERY OF PLASTIC TANKS,2022-2023,FEDHA KENYA LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,999920,SUPPLY AND DELIVERY OF PLASTIC TANKS
006/133/97/22-23,REHABILITATION OF ALIA WATER PROJECT,2022-2023,SCAN CONSTRUCTION LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,2992800,REHABILITATION OF ALIA WATER PROJECT
006/133/98/22-23,MAINTANANCE OF CHAWIA ROADS,2022-2023,MWANEDU GENERAL HOLDINGS,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,MAINTANANCE OF CHAWIA ROADS
006/133/99/22-23,BUSH CLEARING OF CHAWIA ROADS,2022-2023,LIANTO CONTRACTORS LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,498496,BUSH CLEARING OF CHAWIA ROADS
1660210-1/2425,MOZO FUNJU WATER PROJECT,2024-2025,DINARI YETU LTD,2000387.91,"Water, Sanitation, Environment, Climate Change and Natural Resources",1660210-1/2425,0,PURCHASING AND INSTALLITION WORKS
1660244-2024/2025,CONSTRUCTION OF LUSHANGONYI CHOKE WESU ROAD,2024-2025,DINARI YETU LIMITED,4970338.15,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1660244-2024/2025,0,CONSTRUCTION OF  CULVETS
1660497-2024/2025,Replacement of Mghambonyi market roof,2024-2025,LEMAX AGENCIES LIMITED,1997636,"Trade, Tourism, Culture and Industrialization",1660497-2024/2025,0,UNROOFING OLD ROOF SHEETS. INSTALLATION OF NEW ROOF SHEETS
1660603/2024-2025,REHABILITATION AND EXPANSION OF KIVINGO WATER PAN,2024-2025,TAMUCO COMPANY LIMITED,6988229.33,"Water, Sanitation, Environment, Climate Change and Natural Resources",1660603/2024-2025,0,EXCAVATION WORKS
1660686-1/2024-2025,PURCHASE AND INSTALLATION OF PIPES FOR SUPPLIYING WATER TO MAJENGO AND MTAKUJA A VILLAGE,2024-2025,LYDKO TECH SOLUTIONS LTD,1398650,"Water, Sanitation, Environment, Climate Change and Natural Resources",1660686-1/2024-2025,1398650,PURCHASING AND INSTALLITION WORKS
1660721-2024/2025,CONSTRUCTION OF TTU - MRABENYI ROAD,2024-2025,KEDU SOLUTIONS,998912.55,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1660721-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1661148-2024/2025,CONSTRUCTION OF KISANGARINYI - MWALASHI RD,2024-2025,JACKLO COMPANY LIMITED,4596234,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1661148-2024/2025,0,CONSTRUCTION OF  CULVETS
1661233-2024/2025,CONSTRUCTION OF MWAMBOGHO-MWANARIA PHASE III ROAD,2024-2025,SHANTE CONTRACTORS,1485356.8,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1661233-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1661318-2024/2025,Construction of Mleghwa dispensary toilet,2024-2025,STEVE VENTURES,1000000,Health Services,1661318-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1661451-2024/2025,Completion of Manga ECDE fencing,2024-2025,DAPRY CONTRACTORS,700000,"Education, Libraries and VTCs",1661451-2024/2025,0,CONTRUCTION OF ROUND POLES AND CHAINLINK WORKS
1662284-2024/2025,MKUONYI-NGANDENYI-POMPO-MBONUNYI-VIGHONMBONYI ROAD,2024-2025,HEFESHA ENTERPRISES,2398926.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1662284-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1662558/2024-2025,EQUIPING & SOLARIZATION AND DISTRIBUTION OF UTHIANI IRRIGATION BOREHOLE,2024-2025,RAPHAI GENERAL SUPPLIES AND CONSTRUCTORS LIMITED,6955085.23,"Water, Sanitation, Environment, Climate Change and Natural Resources",1662558/2024-2025,0,PURCHASE AND INSTALLATION WORKS FOR SOLAR PANELS
1663087/2024-2025,INSTALLATION OF ELECTRICITY POWER AND SUPPLY OF PIEPES IN LESSESIA WATER PROJECT,2024-2025,MUBESIRU CONSTRUCTION COMPANY LIMITED,500000,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663087/2024-2025,0,PIPPING WORKS AND INSTALLATION OF PUMP AND ELECTRICAL WORKS
1663105/24-2025,"MOBILIZATION,HYDROGEOLOGICAL SURVEY AND DRILLING OF KIZUMANZI-KANYANGA COMMUNITY BOREHOLE IN SAGALLA WARD",2024-2025,SPARVA GENERAL SUPPLIES,1430367,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663105/24-2025,0,DRILLING WORKS AND CONSTUCTION WORKS
166310O/24-25,"MOBILIZATION,HYDROGEOLOGGICAL SURVEY AND DRILLING OF WRAY BOREHOLE IN SAGALLA WARD",2024-2025,GYNETT COMPANY LIMITED,1484133,"Water, Sanitation, Environment, Climate Change and Natural Resources",166310O/24-25,0,DRILLING WORKS AND CONSTUCTION WORKS
1663112/2024-2025,INSTALLATION OF ELECTRICITY POWER AND SUPPLY OF PIEPES IN LANGATA WATER PROJECT,2024-2025,MUBESIRU CONSTRUCTION COMPANY LIMITED,500000,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663112/2024-2025,0,PIPPING WORKS AND INSTALLATION OF PUMP AND ELECTRICAL WORKS
1663397-2024/2025,Renovation of Operating Theatre at Wesu Sub County Hospital,2024-2025,FELCON ENTERPRISES LIMITED,1991140,Health Services,1663397-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1663566/2024-2025,DRILLING AND DEVELOPING OF GANDIA KIRIWENYI BOREHOLE,2024-2025,SWAHAM INVESTMENTS LIMITED,7302026,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663566/2024-2025,930675,DRILLING WORKS AND CONSTUCTION WORKS
1663574-3/2024-2025,INSTALLATION OF WATER PUMP AND PIPPING IN BUSTANI BOREHOLE,2024-2025,MAKA INDUSTIRES LIMITED,3485333,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663574-3/2024-2025,0,PIPPING WORKS AND INSTALLATION OF PUMP
1663579-2/2024-2025,IMPROVEMENT OF MAWORENYI MARIWE-KIWETO WATER PROJECT,2024-2025,ELDOKITS AGENCIES LIMITED,994497.64,"Water, Sanitation, Environment, Climate Change and Natural Resources",1663579-2/2024-2025,0,PURCHASING AND INSTALLITION WORKS
1663883-2024/2025,COMPLETION OF KIBAONI TO MWANANGAO ROAD,2024-2025,UNITECH INDUSTRIAL TRADING LIMITED,1999900,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1663883-2024/2025,0,LIGHT GRADING AND MURRAMING
1664549/2024-2025,REHABILITATION OF NDOLWA WATER PROJECT,2024-2025,YOANI VENTURES LIMITED,6447890,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664549/2024-2025,0,CONTRUCTION WORKS AND PIPPING
1664551-2024/2025,MALELA WATER PROJECT,2024-2025,JEFFLYNE ENTERPRISES,4862188.16,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664551-2024/2025,0,CONTRUCTION WORKS AND PIPPING
1664552-2024/2025,NGELENYI WATER PROJECT,2024-2025,NURKEY TECHNICAL SERVICES,5488067.3,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664552-2024/2025,0,CONTRUCTION WORKS AND PIPPING
1664552/2024-2025,DECCOMMISSIONING OF CHAKALERI DUMPSITE,2024-2025,MAKA INDUSTIRES LIMITED,2782840,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664552/2024-2025,0,COMPLETED WORKS BEING COMMISSIONED AND HANDEDOVER
1664560/2024-2025,MENGO WATER PROJECT INSTALLATION AND DISTRIBUTION LINES,2024-2025,C AND O SNOWTECH GROUP LIMITED,1498928.8,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664560/2024-2025,0,PIPPING WORKS AND INSTALLATION OF PUMP AND TANK
1664566/2024-2025,REHABILITATION OF GHAZI WATER PROJECT,2024-2025,BOHETI INVESTMENTS,4866834.55,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664566/2024-2025,0,CONTRUCTION WORKS AND PIPPING
1664568/2024-2025,DISTILLING OF MALELA DAM,2024-2025,JUFESA INVESTMENTS LIMITED,1999630.48,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664568/2024-2025,0,DISTILLING WORKS -EXCAVATOR
1664570/2024-2025,MAHOO STORM WATER MANAGEMENT,2024-2025,RAPHAI GENERAL SUPPLIES AND CONSTRUCTORS LIMITED,6829497.1,"Water, Sanitation, Environment, Climate Change and Natural Resources",1664570/2024-2025,0,EXCAVATION WORKS
1665788-2024/2025,Construction of Bamako Dispensary phase 3,2024-2025,BROMSAGE LIMITED,1000000,Health Services,1665788-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1665861-2024/2025,"Supply , installation and commissioning of Laundry Machine at Taveta Sub County Hospital,Wesu and Moi County Refferal Hospital",2024-2025,DAMBALA SABAQUO DESIGNS LIMITED,17821521,Health Services,1665861-2024/2025,0,SUPPLY AND DELIVERY AND INSTALLATION
1666174-2024/2025,GRADING AND GRAVELLING OF CHALA WARD ROADS,2024-2025,TALEK AND LIGHT COMPANY LTD,3991684.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1666174-2024/2025,0,"LIGHT GRADING, CLEARING OF BUSHES"
1666429/2024-2025,DRILLING OF MAHANDAKINI BOREHOLE,2024-2025,JAMALULEYL GENERAL CONTRACTOR AND SUPPLIES LIMITED,1695514,"Water, Sanitation, Environment, Climate Change and Natural Resources",1666429/2024-2025,0,DRILLING WORKS AND CONSTUCTION WORKS
1666690-2024/2025,CONSTRUCTION OF MWAMBOTA -MKIYAYO ROAD,2024-2025,ELDOKITS AGENCIES LIMITED,2484234.66,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1666690-2024/2025,0,CONSTRUCTION OF  CULVETS
1666969/2024-2025,PURCHASE OF PIPES FOR WATER SUPPLY AT MALK C,2024-2025,WINDRIA LIMITEED,1980000,"Water, Sanitation, Environment, Climate Change and Natural Resources",1666969/2024-2025,0,PIPE FITIING WORKS
1669209-2024/2025,MWAGH'ORUA-KILULUNYI-MKANYATTA ROAD,2024-2025,DAWUA GENERAL CONTRACTOR,2998615.8,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1669209-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1669309-4/2024-2025,CONSTRUCTION OF NGUWA WATER TANK,2024-2025,ARTIC WORKS LIMITED,2494999.92,"Water, Sanitation, Environment, Climate Change and Natural Resources",1669309-4/2024-2025,0,CONTRACTION WORKS AND PIPPING
1669540-2024/2025,Purchase of pesticides for farmers,2024-2025,GOBRIC AGENCIES LIMITED,998000,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",1669540-2024/2025,0,SUPPLY AND DELIVERY
1669596-2024/2025,PROPOSED CONSTRUCTION OF MCHANGE SOCIAL HALL,2024-2025,DINARI YETU LTD P.O BOX 41964-00100 NAIROBI,1499995,"Youth, Sports, Gender and Social Services",1669596-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1672862/2024-2025,EXTENSION OF PIPING WATER FROM PIPELINE TO WILDLIFE CORRIDOR,2024-2025,RHODIUM TECHNOLOGY LIMITED,999970,"Water, Sanitation, Environment, Climate Change and Natural Resources",1672862/2024-2025,0,PIPPING WORKS AND INSTALLATION OF PUMP AND TANK
1673273-2024/2025,FUEL FOR ROADS,2024-2025,HANZ PETROLEUM LTD,1250000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1673273-2024/2025,0,LIGHT GRADING
1673276-2024/2025,"CHAWIA ROADS(FUEL, CULVERTS, SLABBING AND MURRAMING)",2024-2025,HANZ PETROLEUM LTD,2999950,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1673276-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1673280-2024/2025,FUEL FOR ROAD MAINTENANCE IN RONG'E WARD,2024-2025,TSAVO AUTOPOINT,1750000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1673280-2024/2025,0,LIGHT GRADING
1673309-2024/2025,MLONDO-MRARU-MCHONYI ROAD,2024-2025,DAWUA GENERAL CONTRACTOR,1498107.5,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1673309-2024/2025,0,CONSTRUCTION OF SLABS AND CULVETS
1673310-2024/2025,GRADING OF PARANGA-MLALENYI-TELENYI-KWAAFITI ROAD,2024-2025,RELLAM CONTRACTORS LIMITED,2393196,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1673310-2024/2025,0,BUSH CLEARING AND LIGHT GRADING
1678905-2024/2025,Construction of Kirumbi Dispensary phase 2,2024-2025,KITIBO ENGINEERING LTD,1499630,Health Services,1678905-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1678971/2024-2025,"MOBILIZATION ,HYDROGEOLOGICAL SURVEY AND DRILLING OF LAGHATA B IRRIGATION BOREHOLE IN CHALLA WARD",2024-2025,EXACT TIDE VENTURES,1691709,"Water, Sanitation, Environment, Climate Change and Natural Resources",1678971/2024-2025,0,PURCHASING AND INSTALLITION WORKS
1683006-2024/2025,Purchase of Oil Processor machine,2024-2025,SENTROY VENTURES LIMITED,999768,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",1683006-2024/2025,0,SUPPLY AND DELIVERY AND INSTALLATION
1683293-2024/2025,MAINTANANCE OF ROADS OF MATA WARD,2024-2025,STARDUST TECHNOLOGIES,4997985.3,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1683293-2024/2025,0,LIGHT GRADING MARRUMING
1683441-2024/2025,Construction of Cancer Centre Phase II,2024-2025,RONRICE SERVICES LIMITED,6565509.2,Health Services,1683441-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1683458-2024/2025,Completion of Gaza ECDE and fencing,2024-2025,FRADOR DELTA GENERAL,1855072,"Education, Libraries and VTCs",1683458-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1683488-2024/2025,Completion of Mamdagha ECDE fencing,2024-2025,THETOR ENTERPRISES,700000,"Education, Libraries and VTCs",1683488-2024/2025,0,
1683498-2024/2025,Proposed Wundanyi Bus park,2024-2025,NOHEMWA AND SONS CONTRACTORS LIMITED,4993920,"Trade, Tourism, Culture and Industrialization",1683498-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1683554-2024/2025,Construction of Lessesia ECDE classroom,2024-2025,MUBESIRU CONSTRUCTION LTD,1993460,"Education, Libraries and VTCs",1683554-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1683608-2024/2025,Construction of Kileva ECDE phase II,2024-2025,NDANA LTD COMPANY,2997300,"Education, Libraries and VTCs",1683608-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1683625-2024/2025,Purchase of ECDE learning materials,2024-2025,MWATATE EMPORIUM,1000000,"Education, Libraries and VTCs",1683625-2024/2025,0,SUPPLY AND DELIVERY
1684216-8-2024/2025,Equipping of all ECDEs,2024-2025,MWATATE EMPORIUM,500000,"Education, Libraries and VTCs",1684216-8-2024/2025,0,SUPPLY AND DELIVERY
1684219-3-2024/2025,Equipping of Bungule VTC,2024-2025,SHIZO MOTORS LTD,1499500,"Education, Libraries and VTCs",1684219-3-2024/2025,0,
1684519-2024/2025,Construction of Malkiloriti ECDE toilet,2024-2025,BONWAL CONSTRCTION &HOLDING LTD,997600,"Education, Libraries and VTCs",1684519-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1687053-2024/2025,Construction of Sir Ramson ECDE classroom,2024-2025,VICTRAX ENGINEERING AND CONSTRUCTION,1795842.4,"Education, Libraries and VTCs",1687053-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1687094-2024/2025,Construction of Njukini ECDE classroom,2024-2025,SCHEME CONTRACTORS LTD,1800000,"Education, Libraries and VTCs",1687094-2024/2025,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES
1698999-2024/2025,SUPPLY AND DELIVERY OF TENTS AND PLASTIC CHAIRS FOR RONG'E WARD,2024-2025,KITCEL VENTURES LIMITED,999900,"Youth, Sports, Gender and Social Services",1698999-2024/2025,999900,SUPPLY AND DELIVERY
1699163-2024/2025,Purchase of laundry machine for Nyache  Health center,2024-2025,PROLIFIC HEALTHCARE LIMITED,493995,Health Services,1699163-2024/2025,0,SUPPLY AND DELIVERY AND FITTING
1699348-2024/2025,Construction of Mwambirwa maternity wing,2024-2025,CAND O SNOWTECH GROUP LIMITED,3488438,Health Services,1699348-2024/2025,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS
1699543-2024/2025,INSTALLATION OF ELETRICALS WERUGHA VTC,2024-2025,CANTAM INVESTMENT LTD,1259052.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1699543-2024/2025,0,ELECTRONIC WORKS
1701940/2024-2025,DRILLING OF MAHOO BOREHOLE,2024-2025,AVATOR NETWORKS LIMITED,1992459,"Water, Sanitation, Environment, Climate Change and Natural Resources",1701940/2024-2025,0,DRILLING WORKS AND CONSTUCTION WORKS
1701978-2024/2025,SUPPLY AND DELIVERY OF EMPOWERNMENT ITEMS FOR CHAWIA WARD,2024-2025,REN DIGITAL VENTURES,1955000,"Youth, Sports, Gender and Social Services",1701978-2024/2025,1955000,SUPPLY AND DELIVERY
1702002/2024-2025,SUPPLY OF PIPES AND WATER ACCESSORIES(RIATA KUBWA),2024-2025,AMAZING JENGA,1198740,"Water, Sanitation, Environment, Climate Change and Natural Resources",1702002/2024-2025,0,SUPPLY AND DELIVERY
1702031-2024/2025,SUPPLY AND DELIVERY OF EMPOWERMENT ITEMS FOR MWATATE WARD,2024-2025,JIENGA INVESTMENT LIMITED,2494000,"Youth, Sports, Gender and Social Services",1702031-2024/2025,2494000,SUPPLY AND DELIVERY
