Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/132/174/17-18,Lumi Dispensary,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Dispensary,Admin 3,,Chala,-3.1978170,37.7543080,County Government,100,,,Admin 3,Chala
006/132/175/17-18,Njukini Shed  &Toilet,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Shed Toilet,Admin 3,,Chala,-3.1872890,37.7246310,County Government,100,,,Admin 3,Chala
006/132/176/17-18,Rehabilitation Of Remus-Maroro Road,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murrumming Of The Road,Admin 3,,Mahoo,3.38267,37.68684,County Government,100,,,Admin 3,Mahoo
006/132/177/17-18,Rehabilitation Harambee/Chakaleri Timbila Rd,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murrumming Of The Road,Admin 3,,Mahoo,3.3838,37.7153,County Government,100,,,Admin 3,Mahoo
006/132/178/17-18,Kirimeri Nursery Perimeter Fence,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/179/17-18,Msengoni Road Opening,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Road Formation,Admin 3,,Mahoo,3.3939,37.71212,County Government,100,,,Admin 3,Mahoo
006/132/18/24-25,Murraming Of Ukambani-Majengo Road,Ongoing,2024-2025,Scheme Construction And Technology Designers Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1997608.16,100,Murraming Of Ukambani-Majengo Road,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/180/17-18,Malkulority Ecde ,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Class,Admin 3,,Mahoo,3.34943,37.7082,County Government,100,,,Admin 3,Mahoo
006/132/181/17-18,Youth Road California,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murruming Of The Road,Admin 3,,Mahoo,3.3792,37.673,County Government,100,,,Admin 3,Mahoo
006/132/182/17-18,Maintenance Of Langata-Bypass Road,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murruming Of The Road,Admin 3,,Mahoo,3.38294,37.6797,County Government,100,,,Admin 3,Mahoo
006/132/183/17-18,Miereni Community Social Hall,Complete,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of Social Hall,Admin 3,,Mahoo,3.3847,37.68791,County Government,100,,,Admin 3,Mahoo
006/132/184/17-18,Malkloriti B Ecde And 3 Door Toilet,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Ecde,Admin 3,,Mahoo,3.36949,37.692,County Government,100,,,Admin 3,Mahoo
006/132/185/17-18,Kirimeri Nursery Perimeter Fence,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/186/17-18,Fishing Washing Shade,Complete,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Construction Of Fishing Washing Shade,Admin 3,,Mata,-3.52789,37.67985100,County Government,100,,,Admin 3,Mata
006/132/187/17-18,Kasahani Nursery,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1513995.2,100,Construction Kasahani Nursery,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/188/17-18,"Supply And Intallation Of 10,000Ltrs Water Tank At Orkung Ecde",Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Supply Of Water Storage Tank ,Admin 3,,Mata,-3.51565700,37.7769,County Government,100,,,Admin 3,Mata
006/132/189/17-18,Fencing Of Orkung'U Pre-School,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Fencing Construction ,Admin 3,,Mata,-3.505738,37.686497,County Government,100,,,Admin 3,Mata
006/132/19/24-25,Murraming Of Ukambani-Mlimani-Madarasani Road,Ongoing,2024-2025,Ericia Investment Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3399900,100,Murraming Of Ukambani-Mlimani-Madarasani Road,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/190/17-18,Construction Of 2 Classrooms Kasaani Pre-School,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1192155,100,Construction Of 2 Classrooms Kasaani,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/191/17-18,Construction Of A Kitchen - Orkung'U Pre-School,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of A Kitchen ,Admin 3,,Mata,-3.37188,37.7146320,County Government,100,,,Admin 3,Mata
006/132/192/17-18,Construction Of Kachero Ecde,Ongoing,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1195414.8,100,Construction Of Kachero Ecde,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/193/17-18,Construction Of Grogan Ecde,Stalled,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1069348,100,Construction Of Classroom ,Admin 3,,Mata,-3.47677,37.68638,County Government,100,,,Admin 3,Mata
006/132/194/17-18,Mata Pre School Construction Of 1 Classroom,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Mata Pre School,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/196/17-18,Fencing Of Mata Dispensary,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,499380,100,Fencing Of Mata Dispensary,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/197/17-18,Equiping Of Ndilindau Dispensary,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Supply Of Equipment At Ndilidau Dispensary ,Admin 3,,Mata,-3.380234,37.7489,County Government,100,,,Admin 3,Mata
006/132/199/17-18,"Construction Of Bridges, Drifts & Culverts Installation ",Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,"Construction Of Bridges,Drifts &Culverts Installation",Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/20/24-25,Murraming Of Marabani-Kambugu Road,Complete,2024-2025,Zavon Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1998630,100,Murraming Of Marabani-Kambugu Road,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/200/17-18,Kimondia Road Upgrading,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Road Formation ,Admin 3,,Mata,-3.4368590,37.72977,County Government,100,,,Admin 3,Mata
006/132/201/17-18,Maintenance Of Mukuyuni-Kimwareni-Kimondia Road,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading Of Mkuyuni Rekeke Road,Admin 3,,Mata,-3.37188,37.7146320,County Government,100,,,Admin 3,Mata
006/132/202/17-18,Jipe Road Bridges,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Fixing Of Culverts,Admin 3,,Mata,-3.51658,37.770785,County Government,100,,,Admin 3,Mata
006/132/203/17-18,Culverts Installation-Mata-Njoro-Mtaa Kuja- Rmlf,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100, Culvert Installation At Mata-Njoro- Mtakuja Road ,Admin 3,,Mata,-3.390575,37.585335,County Government,100,,,Admin 3,Mata
006/132/204/17-18,Mata Roads Maintainance- Rmlf,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Mata Roads Maintainance- Rmlf,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/205/17-18,Bodaboda Shed At Cess ,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of The Bodaboda Shed ,Admin 3,,Mata,-3.51658,37.770785,County Government,100,,,Admin 3,Mata
006/132/206/17-18,Jipe Boat Harbour,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Jipe Boat Harbour,Admin 3,,Mata,-3.4347850,37.700644,County Government,100,,,Admin 3,Mata
006/132/207/17-18,Fertilizer For Farmers - Mboghoni,Stalled,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Fertilizer For Farmers - Mboghoni,Admin 3,,Mboghoni,-3.4309,37.7009,County Government,100,,,Admin 3,Mboghoni
006/132/208/17-18,Equipping Mboghonyi Ward Ecdee Centres,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Equipping Mboghonyi Ward Ecdee Centres,Admin 3,,Mboghoni,-3.4764,37.708,County Government,100,,,Admin 3,Mboghoni
006/132/209/17-18,Equipping Of Kambughu Youth Polytechnic,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Equipping Of Kambughu Youth Polytechnic,Admin 3,,Mboghoni,-3.436,37.6158,County Government,100,,,Admin 3,Mboghoni
006/132/21/24-25,Fuel For Excavator For Roads And Canal Maintenance,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Fuel For Excavator For Roads And Canal Maintenance,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/210/17-18,Murraming Of Python Hill Village Road With 2 Lines 900 Mm Culverts,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Python Hill Village Road With 2 Lines 900 Mm Culverts,Admin 3,,Mboghoni,-3.4766,37.6688,County Government,100,,,Admin 3,Mboghoni
006/132/212/17-18,Kimorigo Kilabuni Msengoni Road Upgrading,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Kimorigo Kilabuni Msengoni Road Upgrading,Admin 3,,Mboghoni,-3.4604,37.692,County Government,100,,,Admin 3,Mboghoni
006/132/213/17-18,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,Admin 3,,Mboghoni,-3.4763,37.6822,County Government,100,,,Admin 3,Mboghoni
006/132/214/17-18,Murraming Of Mrabani-Kambungu Road- Rmlf,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Mrabani-Kambungu Road- Rmlf,Admin 3,,Mboghoni,-3.436,37.616,County Government,100,,,Admin 3,Mboghoni
006/132/215/17-18,Murraming Eldoro-Kitoghoto-Ngutini Road- Rmlf,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Eldoro-Kitoghoto-Ngutini Road- Rmlf,Admin 3,,Mboghoni,-3.4763,37.6822,County Government,100,,,Admin 3,Mboghoni
006/132/216/17-18,Construction Of A Social Hall At Kiwalwa Village,Ongoing,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of A Social Hall At Kiwalwa Village,Admin 3,,Mboghoni,-3.4268,37.6887,County Government,100,,,Admin 3,Mboghoni
006/132/217/16-17,Chala Disp. Staff House,Complete,2016-2017,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Disp Staff House,Admin 3,,Chala,-3.2960780,37.7350080,County Government,100,,,Admin 3,Chala
006/132/218/16-17,Njukini Mkt Grading & Gravelling ,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading  & Gravelling Njukini Mkt,Admin 3,,Chala,-3.1874420,37.72156,County Government,100,,,Admin 3,Chala
006/132/219/16-17,Chala Chini Ph 2,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.311315,37.7280820,County Government,100,,,Admin 3,Chala
006/132/22/24-25,Purchase Of Tents And Chairs,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Purchase Of Tents And Chairs,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/220/16-17,Chala Chini Rd,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.3342260,37.7354220,County Government,100,,,Admin 3,Chala
006/132/221/16-17,Chala Secondary Rd,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.2882480,37.738525,County Government,100,,,Admin 3,Chala
006/132/222/16-17,Bishop Njenga Rd,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Grading Of The Road,Admin 3,,Chala,-3.2053320,37.7153450,County Government,100,,,Admin 3,Chala
006/132/223/16-17,Njukini Shed  &Toilet,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Shed Toilet,Admin 3,,Chala,-3.1872890,37.7246310,County Government,100,,,Admin 3,Chala
006/132/224/16-17,Rehabilitation Of Remus-Maroro Road,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murrumming Of The Road,Admin 3,,Mahoo,3.38267,37.68684,County Government,100,,,Admin 3,Mahoo
006/132/225/16-17,Rehabilitation Harambee/Chakaleri Timbila Rd,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murrumming Of The Road,Admin 3,,Mahoo,3.3838,37.7153,County Government,100,,,Admin 3,Mahoo
006/132/226/16-17,Kirimeri Nursery Perimeter Fence,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/227/16-17,"Kimondia, Matutani And Kitivo/Ngwakwele Land Reclamation  For Growing Maize,Rice,Mangoes,Bananas.",Complete,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Desilting Canals ,Admin 3,,Mata,-3.44744,37.7174670,County Government,100,,,Admin 3,Mata
006/132/228/16-17,Hormone Syncronization Programme For Livestock In Orkungu Salaita Njoro,Complete,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Hormone Synchronization Programme,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/229/16-17,Construction Of Crush Pens (Kimala And Njoro) (Mata Ward)-,Complete,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Construction Of Crush Pens ,Admin 3,,Mata,-3.466875,37.5433690,County Government,100,,,Admin 3,Mata
006/132/23/24-25,Community Empowerment,Complete,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Community Empowerment,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/230/16-17,Starting Of Fishponds In Lake Jipe,Complete,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Construction Of The Fish Ponds ,Admin 3,,Mata,-3.52658,37.565785,County Government,100,,,Admin 3,Mata
006/132/231/16-17,Construction Of 1 Classroom-Kimondia Pre School,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Classroom ,Admin 3,,Mata,-3.43744,37.6853420,County Government,100,,,Admin 3,Mata
006/132/232/16-17,Fencing Of Orkung'U Pre-School,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Fencing Construction ,Admin 3,,Mata,-3.505738,37.686497,County Government,100,,,Admin 3,Mata
006/132/233/16-17,Construction Of 1 Classroom Kasaani Pre-School,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Classroom ,Admin 3,,Mata,-3.380234,37.7489,County Government,100,,,Admin 3,Mata
006/132/234/16-17,Construction Of A Kitchen - Orkung'U Pre-School,Complete,2016-2017,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of A Kitchen ,Admin 3,,Mata,-3.37188,37.7146320,County Government,100,,,Admin 3,Mata
006/132/235/16-17,Construction Of Mata Youth Polytechnic,Complete,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of Mata Vtc,Admin 3,,Mata,-3.390575,37.585335,County Government,100,,,Admin 3,Mata
006/132/236/16-17,Jipe Road Bridges,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Fixing Of Culverts,Admin 3,,Mata,-3.51658,37.770785,County Government,100,,,Admin 3,Mata
006/132/237/16-17,Rehabilation Of Njoro-Mboghoni Road (12Km) - Pending Bills,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Rehabilation Of Njoro-Mboghoni Road (12Km) - Pending Bills,Admin 3,,Mboghoni,-3.4871,37.6903,County Government,100,,,Admin 3,Mboghoni
006/132/238/16-17,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,Complete,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,Admin 3,,Mboghoni,-3.4704,37.6688,County Government,100,,,Admin 3,Mboghoni
006/132/239/15-16,Njukini Mkt Grading & Gravelling ,Complete,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading  & Gravelling Njukini Mkt,Admin 3,,Chala,-3.1874420,37.72156,County Government,100,,,Admin 3,Chala
006/132/24/24-25,Desilting Njoro Kubwa Canal,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Clearing Of The Canal,Admin 3,,Mboghoni,-3.4241,37.685,County Government,100,,,Admin 3,Mboghoni
006/132/240/15-16,Bishop Njenga Rd,Complete,2015-2016,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Grading Of The Road,Admin 3,,Chala,-3.2053320,37.7153450,County Government,100,,,Admin 3,Chala
006/132/241/15-16,Chala Chini Tank 10000L,Complete,2015-2016,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Purchase Of Tank,Admin 3,,Chala,-3.316405,37.72669,County Government,100,,,Admin 3,Chala
